PID	Status	Label
492	0	com.apple.icloud.searchpartyuseragent
-	-9	com.apple.AccessibilityVisualsAgent
597	0	com.apple.Siri.agent
-	0	com.apple.installd.user
39897	0	com.apple.privatecloudcomputed
-	-9	com.apple.textunderstandingd
481	0	com.apple.akd
-	127	com.ginie.watchdog
629	0	application.com.pinetwork.desktop.84854767.84854773
-	-9	com.apple.CallHistoryPluginHelper
-	0	com.apple.mbproximityhelper
-	-9	com.apple.appplaceholdersyncd
17638	0	com.apple.storeaccountd
-	0	com.apple.AddressBook.AssistantService
-	0	com.apple.PIPAgent
408	0	com.apple.cmio.ContinuityCaptureAgent
-	0	com.apple.mbfloagent
-	-9	com.apple.printtool.agent
-	1	com.ginie.symbiose
-	78	com.enduement.app
-	78	com.Wappo
-	-9	com.apple.askpermissiond
18468	0	com.apple.USBAgent
-	0	com.apple.previewshellmacapp
-	0	com.apple.ssinvitationagent
-	0	com.apple.webinspectord
-	-9	com.apple.avatarsd
-	0	com.apple.speech.synthesisserver
54640	0	com.apple.storeuid
-	0	com.apple.rcd
-	0	com.apple.printuitool.agent
-	0	com.apple.NVMeAgent
-	0	com.apple.speech.speechdatainstallerd
-	0	com.apple.AOSHeartbeat
631	0	com.apple.CryptoTokenKit.ahp.agent
-	-9	com.apple.SafariNotificationAgent
-	0	com.apple.coredatad
47719	0	com.apple.remindd
-	0	com.apple.appsleep
17363	0	com.apple.duetexpertd
85607	0	application.com.google.Chrome.app.mjoklplbddabcmpepnokjaffbmgbkkgg.89774989.89774998
81520	0	application.com.apple.Preview.1152921500311897026.1152921500311897031
498	0	com.apple.coreservices.useractivityd
-	0	com.apple.screencaptureui.agent
-	0	com.apple.cvmsCompAgent3600_x86_64_1
-	0	com.apple.netauth.user.auth
-	0	com.apple.siri-distributed-evaluation
486	0	com.apple.ViewBridgeAuxiliary
-	0	com.apple.mbbackgrounduseragent
-	0	com.apple.cvmsCompAgent_x86_64
401	0	com.apple.lsd
-	-9	com.apple.siri.context.service
-	0	com.apple.fskit.fskit_agent
455	0	com.apple.pluginkit.pkd
-	0	com.apple.CharacterPicker.RemoteGenerationViewService
-	0	com.apple.security.XPCTimeStampingService
-	0	com.apple.Virtualization.EventTap
-	-9	com.apple.webkit.webpushd
-	-9	com.apple.weatherd
47838	-9	com.apple.cache_delete
-	0	com.apple.symptomsd-diag.agent
645	0	com.apple.AMPDeviceDiscoveryAgent
-	0	com.apple.accessibility.dfrhud
-	-9	com.apple.CallHistorySyncHelper
-	-9	com.apple.colorsync.useragent
-	-9	com.apple.analyticsagent
73158	-9	com.apple.appleaccountd
17106	0	com.apple.parsecd
-	-9	com.apple.mlruntimed
620	0	com.apple.Dock.agent
77722	0	com.apple.parsec-fbf
431	0	com.apple.dmd
47964	-9	com.apple.transparencyd
-	-9	com.apple.AppSSOAgent
87226	0	com.apple.mbuseragent
31899	-9	com.apple.security.cloudkeychainproxy3
392	0	com.apple.UserEventAgent-Aqua
38330	-9	com.apple.followupd
424	0	com.apple.identityservicesd
461	0	com.apple.telephonyutilities.callservicesd
-	0	com.apple.DwellControl
63542	-9	com.apple.generativeexperiencesd
-	-9	com.apple.XProtect.agent.scan
-	-9	com.apple.storekitagent
600	0	/Users/christerolsen/Library/Tanagraean/hDciSBol/gastricism
10618	0	com.apple.security.DiskUnmountWatcher
469	0	com.apple.CoreLocationAgent
8155	0	application.com.apple.Terminal.1152921500311911761.1152921500311911766
-	0	com.apple.StorageManagement.Service
22086	-9	com.apple.SecureBackupDaemon
-	0	com.apple.security.agent
84327	-9	com.apple.backgroundtaskmanagement.agent
-	0	com.apple.intelligenceflowd
45898	-9	com.apple.businessservicesd
-	0	com.apple.cfnetwork.AuthBrokerAgent
-	78	com.distlk.app
15049	-9	com.apple.feedbackd
-	0	com.apple.storedownloadd
-	0	com.apple.SpacesTouchBarAgent.app
611	0	com.apple.BTServer.cloudpairing
-	0	com.apple.managedcorespotlightd
451	0	com.apple.coreservices.sharedfilelistd
400	0	com.apple.pboard
-	0	com.apple.nowplayingtouchui
-	-9	com.apple.MobileAccessoryUpdater.fudHelperAgent
-	-9	com.apple.reversetemplated
31060	0	com.apple.BTServer.le.agent
-	0	com.apple.AskPermissionUI
-	0	com.apple.thermaltrap
409	0	com.apple.rapportd
75702	-9	com.apple.SoftwareUpdateNotificationManager
-	0	com.apple.DistributionKit.DistributionHelper
-	0	com.apple.accounts.dom
13630	0	com.apple.TextInputUI.xpc.CursorUIViewService
-	0	com.apple.metadata.mdflagwriter
-	-9	com.apple.DictionaryServiceHelper
-	0	com.apple.mdworker.shared
-	0	com.apple.mdworker.single.x86_64
-	0	com.apple.usermanagerhelper
-	0	com.apple.installandsetup.migrationhelper.user
428	0	com.apple.containermanagerd
-	-9	com.apple.SafeEjectGPUService
48182	-9	com.apple.imdpersistence.IMDPersistenceAgent
-	0	com.apple.TrustEvaluationAgent
-	0	com.apple.Notes.datastore
47825	-9	com.apple.mlhostd
-	0	com.apple.preference.displays.MirrorDisplays
-	-9	com.apple.IOUIAgent
397	0	com.apple.neagent.878568F8-CCE5-4157-8315-22F20DC8FB0A
-	0	com.apple.previewshellapp
413	0	com.apple.accountsd
78624	-9	com.apple.cdpd
437	0	com.apple.routined
538	0	com.apple.siriactionsd
-	0	com.apple.KeyboardAccessAgent
412	0	com.apple.BiomeAgent
85440	0	application.com.google.Chrome.9269958.88945398.C85E1B2D-5F3D-4C56-A94F-3D6DC1A7FB9A
-	0	com.apple.storelegacy
-	-9	com.apple.OSDUIHelper
640	0	com.apple.audio.AudioComponentRegistrar
547	0	com.apple.AssetCacheLocatorService
-	0	com.apple.DiagnosticsReporter
429	0	com.apple.lockoutagent
-	0	com.apple.videosubscriptionsd
553	0	com.apple.pbs
-	0	com.apple.calendar.CalendarAgentBookmarkMigrationService
468	0	com.apple.notificationcenterui.agent
